group,id,course,module,grade
1,10,Fashion Design and Textile Innovation,1,12.5
1,10,Fashion Design and Textile Innovation,1,13.5
1,10,Fashion Design and Textile Innovation,1,7
1,10,Fashion Design and Textile Innovation,1,15
1,10,Fashion Design and Textile Innovation,1,17
1,10,Fashion Design and Textile Innovation,1,14
1,10,Fashion Design and Textile Innovation,1,16
1,10,Historical Archaeology and Antiquarian Studies,1,12.75
1,10,Historical Archaeology and Antiquarian Studies,1,11.75
1,10,Historical Archaeology and Antiquarian Studies,1,12
1,10,Steam Engine Mechanics and Engineering,2,6.25
1,10,Steam Engine Mechanics and Engineering,2,9.25
1,10,Steam Engine Mechanics and Engineering,2,7.75
1,10,Victorian Literature and Social Commentary,1,6.8
1,10,Victorian Literature and Social Commentary,1,8.2
1,10,Victorian Literature and Social Commentary,1,8.5
1,10,Victorian Literature and Social Commentary,1,10.4
1,10,Victorian Literature and Social Commentary,1,4.6
1,10,Victorian Literature and Social Commentary,1,9.3
1,10,Victorian Literature and Social Commentary,1,6.6
1,10,Victorian Literature and Social Commentary,1,6.1
1,62,Airship Piloting and Navigation,1,9
1,62,Airship Piloting and Navigation,1,7
1,62,Airship Piloting and Navigation,1,10
1,62,Airship Piloting and Navigation,1,10.5
1,62,Airship Piloting and Navigation,1,3.5
1,62,Alchemy and Chemical Engineering,2,13.5
1,62,Alchemy and Chemical Engineering,2,12
1,62,Alchemy and Chemical Engineering,2,13.5
1,62,Clockwork Automata and Robotics,1,14
1,62,Clockwork Automata and Robotics,1,20
1,62,Clockwork Automata and Robotics,1,8.5
1,62,Clockwork Automata and Robotics,1,11.5
1,62,Clockwork Automata and Robotics,1,19
1,62,Cryptography and Codebreaking,1,8.5
1,62,Cryptography and Codebreaking,1,8.5
1,62,Cryptography and Codebreaking,1,10
1,62,Electrical Engineering and Telegraphy,1,15
1,62,Electrical Engineering and Telegraphy,1,13
1,62,Electrical Engineering and Telegraphy,1,19
1,62,Etiquette and Social Graces,1,9.5
1,62,Etiquette and Social Graces,1,11.5
1,62,Etiquette and Social Graces,1,12.5
1,62,Etiquette and Social Graces,1,9.5
1,62,Etiquette and Social Graces,1,7.5
1,62,Fashion Design and Textile Innovation,1,16.5
1,62,Fashion Design and Textile Innovation,1,9.5
1,62,Fashion Design and Textile Innovation,1,10
1,62,Fashion Design and Textile Innovation,1,20
1,62,Fashion Design and Textile Innovation,1,19
1,62,Fashion Design and Textile Innovation,1,17.5
1,62,Fashion Design and Textile Innovation,1,16
1,62,Fashion Design and Textile Innovation,1,16
1,62,Fashion Design and Textile Innovation,1,9.5
1,62,Fashion Design and Textile Innovation,1,10.5
1,62,Historical Archaeology and Antiquarian Studies,1,10.75
1,62,Historical Archaeology and Antiquarian Studies,1,11.75
1,62,Historical Archaeology and Antiquarian Studies,1,13
1,62,Steam Engine Mechanics and Engineering,2,6.75
1,62,Steam Engine Mechanics and Engineering,2,4
1,62,Steam Engine Mechanics and Engineering,2,5.25
1,62,Victorian Literature and Social Commentary,1,9.1
1,62,Victorian Literature and Social Commentary,1,11.7
1,62,Victorian Literature and Social Commentary,1,4.5
1,62,Victorian Literature and Social Commentary,1,6.2
1,62,Victorian Literature and Social Commentary,1,10.7
1,62,Victorian Literature and Social Commentary,1,5.8
1,62,Victorian Literature and Social Commentary,1,6.5
1,62,Victorian Literature and Social Commentary,1,6
1,80,Airship Piloting and Navigation,1,7.5
1,80,Airship Piloting and Navigation,1,10
1,80,Airship Piloting and Navigation,1,13
1,80,Airship Piloting and Navigation,1,8
1,80,Airship Piloting and Navigation,1,12
1,80,Alchemy and Chemical Engineering,2,12
1,80,Alchemy and Chemical Engineering,2,12
1,80,Alchemy and Chemical Engineering,2,14
1,80,Alchemy and Chemical Engineering,2,13.5
1,80,Alchemy and Chemical Engineering,2,13
1,80,Clockwork Automata and Robotics,1,16
1,80,Clockwork Automata and Robotics,1,19
1,80,Clockwork Automata and Robotics,1,16
1,80,Clockwork Automata and Robotics,1,15.5
1,80,Clockwork Automata and Robotics,1,12
1,80,Cryptography and Codebreaking,1,10
1,80,Cryptography and Codebreaking,1,11.5
1,80,Cryptography and Codebreaking,1,8
1,80,Electrical Engineering and Telegraphy,1,12
1,80,Electrical Engineering and Telegraphy,1,10
1,80,Electrical Engineering and Telegraphy,1,12
1,80,Etiquette and Social Graces,1,12.5
1,80,Etiquette and Social Graces,1,9.5
1,80,Etiquette and Social Graces,1,12.5
1,80,Etiquette and Social Graces,1,17
1,80,Etiquette and Social Graces,1,13.5
1,80,Fashion Design and Textile Innovation,1,15
1,80,Fashion Design and Textile Innovation,1,20
1,80,Fashion Design and Textile Innovation,1,13.5
1,80,Fashion Design and Textile Innovation,1,10
1,80,Fashion Design and Textile Innovation,1,12
1,80,Fashion Design and Textile Innovation,1,14
1,80,Fashion Design and Textile Innovation,1,10
1,80,Fashion Design and Textile Innovation,1,16.5
1,80,Fashion Design and Textile Innovation,1,12.5
1,80,Fashion Design and Textile Innovation,1,14.5
1,80,Historical Archaeology and Antiquarian Studies,1,10.75
1,80,Historical Archaeology and Antiquarian Studies,1,12.75
1,80,Historical Archaeology and Antiquarian Studies,1,12.25
1,80,Steam Engine Mechanics and Engineering,2,6.25
1,80,Steam Engine Mechanics and Engineering,2,6.5
1,80,Steam Engine Mechanics and Engineering,2,10
1,80,Victorian Literature and Social Commentary,1,5
1,80,Victorian Literature and Social Commentary,1,6.5
1,80,Victorian Literature and Social Commentary,1,6.3
1,80,Victorian Literature and Social Commentary,1,10
1,80,Victorian Literature and Social Commentary,1,4.9
1,80,Victorian Literature and Social Commentary,1,7.2
1,80,Victorian Literature and Social Commentary,1,5.9
1,80,Victorian Literature and Social Commentary,1,4.8
1,84,Airship Piloting and Navigation,1,8
1,84,Airship Piloting and Navigation,1,8.5
1,84,Airship Piloting and Navigation,1,5.5
1,84,Airship Piloting and Navigation,1,14.5
1,84,Airship Piloting and Navigation,1,6.5
1,84,Alchemy and Chemical Engineering,2,10
1,84,Alchemy and Chemical Engineering,2,14.5
1,84,Alchemy and Chemical Engineering,2,12.5
1,84,Alchemy and Chemical Engineering,2,12
1,84,Alchemy and Chemical Engineering,2,14
1,84,Clockwork Automata and Robotics,1,19.5
1,84,Clockwork Automata and Robotics,1,11.5
1,84,Clockwork Automata and Robotics,1,19
1,84,Clockwork Automata and Robotics,1,16
1,84,Cryptography and Codebreaking,1,8.5
1,84,Cryptography and Codebreaking,1,9
1,84,Cryptography and Codebreaking,1,9
1,84,Electrical Engineering and Telegraphy,1,8
1,84,Electrical Engineering and Telegraphy,1,11
1,84,Electrical Engineering and Telegraphy,1,13
1,84,Etiquette and Social Graces,1,12
1,84,Etiquette and Social Graces,1,9
1,84,Etiquette and Social Graces,1,14
1,84,Etiquette and Social Graces,1,7.5
1,84,Etiquette and Social Graces,1,13
1,84,Fashion Design and Textile Innovation,1,14
1,84,Fashion Design and Textile Innovation,1,11
1,84,Fashion Design and Textile Innovation,1,10
1,84,Fashion Design and Textile Innovation,1,14
1,84,Fashion Design and Textile Innovation,1,18.5
1,84,Fashion Design and Textile Innovation,1,8.5
1,84,Fashion Design and Textile Innovation,1,20
1,84,Fashion Design and Textile Innovation,1,11
1,84,Historical Archaeology and Antiquarian Studies,1,13
1,84,Historical Archaeology and Antiquarian Studies,1,12.5
1,84,Historical Archaeology and Antiquarian Studies,1,11.25
1,84,Steam Engine Mechanics and Engineering,2,5.25
1,84,Steam Engine Mechanics and Engineering,2,7.75
1,84,Steam Engine Mechanics and Engineering,2,7.5
1,84,Victorian Literature and Social Commentary,1,8.5
1,84,Victorian Literature and Social Commentary,1,7.3
1,84,Victorian Literature and Social Commentary,1,5.8
1,84,Victorian Literature and Social Commentary,1,7
1,84,Victorian Literature and Social Commentary,1,5.4
1,84,Victorian Literature and Social Commentary,1,6.4
1,84,Victorian Literature and Social Commentary,1,5.5
1,84,Victorian Literature and Social Commentary,1,6.9
1,89,Airship Piloting and Navigation,1,14
1,89,Airship Piloting and Navigation,1,9
1,89,Airship Piloting and Navigation,1,7.5
1,89,Airship Piloting and Navigation,1,7
1,89,Airship Piloting and Navigation,1,6.5
1,89,Alchemy and Chemical Engineering,2,12
1,89,Alchemy and Chemical Engineering,2,14
1,89,Alchemy and Chemical Engineering,2,13
1,89,Alchemy and Chemical Engineering,2,12.5
1,89,Alchemy and Chemical Engineering,2,13.5
1,89,Clockwork Automata and Robotics,1,17
1,89,Clockwork Automata and Robotics,1,17
1,89,Clockwork Automata and Robotics,1,18
1,89,Clockwork Automata and Robotics,1,17
1,89,Cryptography and Codebreaking,1,10.5
1,89,Cryptography and Codebreaking,1,8.5
1,89,Cryptography and Codebreaking,1,8
1,89,Electrical Engineering and Telegraphy,1,10
1,89,Electrical Engineering and Telegraphy,1,15
1,89,Etiquette and Social Graces,1,13
1,89,Etiquette and Social Graces,1,10.5
1,89,Etiquette and Social Graces,1,13.5
1,89,Etiquette and Social Graces,1,10
1,89,Fashion Design and Textile Innovation,1,18
1,89,Fashion Design and Textile Innovation,1,12.5
1,89,Fashion Design and Textile Innovation,1,14.5
1,89,Fashion Design and Textile Innovation,1,11.5
1,89,Fashion Design and Textile Innovation,1,14.5
1,89,Fashion Design and Textile Innovation,1,20
1,89,Fashion Design and Textile Innovation,1,11
1,89,Fashion Design and Textile Innovation,1,12.5
1,89,Historical Archaeology and Antiquarian Studies,1,11.75
1,89,Historical Archaeology and Antiquarian Studies,1,13
1,89,Steam Engine Mechanics and Engineering,2,8.25
1,89,Steam Engine Mechanics and Engineering,2,7
1,89,Steam Engine Mechanics and Engineering,2,5.25
1,89,Victorian Literature and Social Commentary,1,6.5
1,89,Victorian Literature and Social Commentary,1,5.9
1,89,Victorian Literature and Social Commentary,1,6.8
1,89,Victorian Literature and Social Commentary,1,8.2
1,89,Victorian Literature and Social Commentary,1,7
1,89,Victorian Literature and Social Commentary,1,6.8
1,89,Victorian Literature and Social Commentary,1,6.7
1,156,Airship Piloting and Navigation,1,12
1,156,Airship Piloting and Navigation,1,12.5
1,156,Airship Piloting and Navigation,1,16
1,156,Airship Piloting and Navigation,1,14
1,156,Alchemy and Chemical Engineering,2,15.5
1,156,Alchemy and Chemical Engineering,2,14
1,156,Alchemy and Chemical Engineering,2,12
1,156,Alchemy and Chemical Engineering,2,14
1,156,Alchemy and Chemical Engineering,2,13
1,156,Clockwork Automata and Robotics,1,13.5
1,156,Clockwork Automata and Robotics,1,12
1,156,Clockwork Automata and Robotics,1,12
1,156,Clockwork Automata and Robotics,1,16.5
1,156,Clockwork Automata and Robotics,1,11.5
1,156,Cryptography and Codebreaking,1,9
1,156,Cryptography and Codebreaking,1,8
1,156,Cryptography and Codebreaking,1,10
1,156,Electrical Engineering and Telegraphy,1,7
1,156,Electrical Engineering and Telegraphy,1,16
1,156,Electrical Engineering and Telegraphy,1,14
1,156,Etiquette and Social Graces,1,12
1,156,Etiquette and Social Graces,1,9
1,156,Etiquette and Social Graces,1,16.5
1,156,Etiquette and Social Graces,1,11.5
1,156,Etiquette and Social Graces,1,7.5
1,156,Fashion Design and Textile Innovation,1,19.5
1,156,Fashion Design and Textile Innovation,1,9.5
1,156,Fashion Design and Textile Innovation,1,19.5
1,156,Fashion Design and Textile Innovation,1,13.5
1,156,Fashion Design and Textile Innovation,1,14.5
1,156,Fashion Design and Textile Innovation,1,20
1,156,Fashion Design and Textile Innovation,1,20
1,156,Fashion Design and Textile Innovation,1,14
1,156,Fashion Design and Textile Innovation,1,14
1,156,Fashion Design and Textile Innovation,1,16
1,156,Historical Archaeology and Antiquarian Studies,1,10.5
1,156,Historical Archaeology and Antiquarian Studies,1,11
1,156,Historical Archaeology and Antiquarian Studies,1,12.75
1,156,Steam Engine Mechanics and Engineering,2,9
1,156,Steam Engine Mechanics and Engineering,2,9
1,156,Victorian Literature and Social Commentary,1,7.3
1,156,Victorian Literature and Social Commentary,1,4.8
1,156,Victorian Literature and Social Commentary,1,5.5
1,156,Victorian Literature and Social Commentary,1,7
1,156,Victorian Literature and Social Commentary,1,6.3
1,156,Victorian Literature and Social Commentary,1,5.6
1,156,Victorian Literature and Social Commentary,1,3.8
1,156,Victorian Literature and Social Commentary,1,8.3
1,159,Airship Piloting and Navigation,1,7.5
1,159,Airship Piloting and Navigation,1,8
1,159,Airship Piloting and Navigation,1,10.5
1,159,Airship Piloting and Navigation,1,7.5
1,159,Airship Piloting and Navigation,1,7
1,159,Alchemy and Chemical Engineering,2,13
1,159,Alchemy and Chemical Engineering,2,14
1,159,Alchemy and Chemical Engineering,2,12.5
1,159,Alchemy and Chemical Engineering,2,14
1,159,Alchemy and Chemical Engineering,2,14
1,159,Clockwork Automata and Robotics,1,17.5
1,159,Clockwork Automata and Robotics,1,15
1,159,Clockwork Automata and Robotics,1,19
1,159,Clockwork Automata and Robotics,1,16.5
1,159,Clockwork Automata and Robotics,1,17
1,159,Cryptography and Codebreaking,1,9
1,159,Cryptography and Codebreaking,1,11
1,159,Cryptography and Codebreaking,1,8
1,159,Electrical Engineering and Telegraphy,1,20
1,159,Electrical Engineering and Telegraphy,1,12
1,159,Electrical Engineering and Telegraphy,1,13
1,159,Etiquette and Social Graces,1,15
1,159,Etiquette and Social Graces,1,12.5
1,159,Etiquette and Social Graces,1,14.5
1,159,Etiquette and Social Graces,1,16.5
1,159,Etiquette and Social Graces,1,11
1,159,Fashion Design and Textile Innovation,1,17.5
1,159,Fashion Design and Textile Innovation,1,19
1,159,Fashion Design and Textile Innovation,1,15
1,159,Fashion Design and Textile Innovation,1,14
1,159,Fashion Design and Textile Innovation,1,8
1,159,Fashion Design and Textile Innovation,1,17.5
1,159,Fashion Design and Textile Innovation,1,10.5
1,159,Fashion Design and Textile Innovation,1,14.5
1,159,Fashion Design and Textile Innovation,1,12
1,159,Fashion Design and Textile Innovation,1,18
1,159,Historical Archaeology and Antiquarian Studies,1,15
1,159,Historical Archaeology and Antiquarian Studies,1,11.75
1,159,Historical Archaeology and Antiquarian Studies,1,11.5
1,159,Steam Engine Mechanics and Engineering,2,11.25
1,159,Steam Engine Mechanics and Engineering,2,6.75
1,159,Steam Engine Mechanics and Engineering,2,7.25
1,159,Victorian Literature and Social Commentary,1,9.1
1,159,Victorian Literature and Social Commentary,1,4.9
1,159,Victorian Literature and Social Commentary,1,9.1
1,159,Victorian Literature and Social Commentary,1,7.2
1,159,Victorian Literature and Social Commentary,1,5.1
1,159,Victorian Literature and Social Commentary,1,7.7
1,159,Victorian Literature and Social Commentary,1,6.5
1,159,Victorian Literature and Social Commentary,1,7.4
1,163,Airship Piloting and Navigation,1,13.5
1,163,Airship Piloting and Navigation,1,11.5
1,163,Airship Piloting and Navigation,1,12
1,163,Airship Piloting and Navigation,1,8
1,163,Airship Piloting and Navigation,1,9.5
1,163,Alchemy and Chemical Engineering,2,13
1,163,Alchemy and Chemical Engineering,2,15
1,163,Alchemy and Chemical Engineering,2,13.5
1,163,Alchemy and Chemical Engineering,2,13
1,163,Alchemy and Chemical Engineering,2,13.5
1,163,Clockwork Automata and Robotics,1,11
1,163,Clockwork Automata and Robotics,1,12
1,163,Clockwork Automata and Robotics,1,11
1,163,Clockwork Automata and Robotics,1,17
1,163,Clockwork Automata and Robotics,1,14.5
1,163,Cryptography and Codebreaking,1,8
1,163,Cryptography and Codebreaking,1,8.5
1,163,Cryptography and Codebreaking,1,10
1,163,Electrical Engineering and Telegraphy,1,10
1,163,Electrical Engineering and Telegraphy,1,11
1,163,Electrical Engineering and Telegraphy,1,12
1,163,Etiquette and Social Graces,1,12
1,163,Etiquette and Social Graces,1,13.5
1,163,Etiquette and Social Graces,1,11.5
1,163,Etiquette and Social Graces,1,13
1,163,Fashion Design and Textile Innovation,1,7.5
1,163,Fashion Design and Textile Innovation,1,8.5
1,163,Fashion Design and Textile Innovation,1,12
1,163,Fashion Design and Textile Innovation,1,11.5
1,163,Fashion Design and Textile Innovation,1,10.5
1,163,Fashion Design and Textile Innovation,1,20
1,163,Fashion Design and Textile Innovation,1,8.5
1,163,Fashion Design and Textile Innovation,1,10.5
1,163,Fashion Design and Textile Innovation,1,15
1,163,Fashion Design and Textile Innovation,1,18.5
1,163,Historical Archaeology and Antiquarian Studies,1,11
1,163,Historical Archaeology and Antiquarian Studies,1,12
1,163,Historical Archaeology and Antiquarian Studies,1,12.5
1,163,Steam Engine Mechanics and Engineering,2,7
1,163,Steam Engine Mechanics and Engineering,2,6.5
1,163,Steam Engine Mechanics and Engineering,2,8
1,163,Victorian Literature and Social Commentary,1,7.4
1,163,Victorian Literature and Social Commentary,1,8
1,163,Victorian Literature and Social Commentary,1,6.6
1,163,Victorian Literature and Social Commentary,1,7.3
1,163,Victorian Literature and Social Commentary,1,7.8
1,163,Victorian Literature and Social Commentary,1,8.9
1,163,Victorian Literature and Social Commentary,1,10
1,163,Victorian Literature and Social Commentary,1,8.9
1,197,Airship Piloting and Navigation,1,12.5
1,197,Airship Piloting and Navigation,1,7
1,197,Airship Piloting and Navigation,1,9
1,197,Airship Piloting and Navigation,1,5
1,197,Alchemy and Chemical Engineering,2,13
1,197,Alchemy and Chemical Engineering,2,14
1,197,Alchemy and Chemical Engineering,2,13.5
1,197,Alchemy and Chemical Engineering,2,13
1,197,Alchemy and Chemical Engineering,2,12
1,197,Clockwork Automata and Robotics,1,15.5
1,197,Clockwork Automata and Robotics,1,14
1,197,Clockwork Automata and Robotics,1,14.5
1,197,Clockwork Automata and Robotics,1,15
1,197,Clockwork Automata and Robotics,1,20
1,197,Cryptography and Codebreaking,1,12
1,197,Cryptography and Codebreaking,1,9
1,197,Cryptography and Codebreaking,1,10
1,197,Electrical Engineering and Telegraphy,1,13
1,197,Electrical Engineering and Telegraphy,1,14
1,197,Electrical Engineering and Telegraphy,1,13
1,197,Etiquette and Social Graces,1,9.5
1,197,Etiquette and Social Graces,1,15
1,197,Etiquette and Social Graces,1,11
1,197,Etiquette and Social Graces,1,11
1,197,Etiquette and Social Graces,1,13.5
1,197,Fashion Design and Textile Innovation,1,18
1,197,Fashion Design and Textile Innovation,1,15
1,197,Fashion Design and Textile Innovation,1,18.5
1,197,Fashion Design and Textile Innovation,1,19.5
1,197,Fashion Design and Textile Innovation,1,17
1,197,Fashion Design and Textile Innovation,1,18
1,197,Fashion Design and Textile Innovation,1,13.5
1,197,Fashion Design and Textile Innovation,1,17.5
1,197,Fashion Design and Textile Innovation,1,12.5
1,197,Fashion Design and Textile Innovation,1,11
1,197,Historical Archaeology and Antiquarian Studies,1,11.25
1,197,Historical Archaeology and Antiquarian Studies,1,11
1,197,Historical Archaeology and Antiquarian Studies,1,12.75
1,197,Steam Engine Mechanics and Engineering,2,8.75
1,197,Steam Engine Mechanics and Engineering,2,7.5
1,197,Steam Engine Mechanics and Engineering,2,7.5
1,197,Victorian Literature and Social Commentary,1,7.4
1,197,Victorian Literature and Social Commentary,1,7.4
1,197,Victorian Literature and Social Commentary,1,7.1
1,197,Victorian Literature and Social Commentary,1,7.1
1,197,Victorian Literature and Social Commentary,1,7.3
1,197,Victorian Literature and Social Commentary,1,5.6
1,197,Victorian Literature and Social Commentary,1,5.6
1,197,Victorian Literature and Social Commentary,1,7.2
1,198,Airship Piloting and Navigation,1,9.5
1,198,Airship Piloting and Navigation,1,9.5
1,198,Airship Piloting and Navigation,1,7.5
1,198,Airship Piloting and Navigation,1,12
1,198,Airship Piloting and Navigation,1,11
1,198,Alchemy and Chemical Engineering,2,13.5
1,198,Alchemy and Chemical Engineering,2,12.5
1,198,Alchemy and Chemical Engineering,2,14.5
1,198,Alchemy and Chemical Engineering,2,13.5
1,198,Alchemy and Chemical Engineering,2,12.5
1,198,Clockwork Automata and Robotics,1,16.5
1,198,Clockwork Automata and Robotics,1,20
1,198,Clockwork Automata and Robotics,1,16
1,198,Clockwork Automata and Robotics,1,15.5
1,198,Clockwork Automata and Robotics,1,19.5
1,198,Cryptography and Codebreaking,1,10
1,198,Cryptography and Codebreaking,1,10
1,198,Cryptography and Codebreaking,1,9
1,198,Electrical Engineering and Telegraphy,1,15
1,198,Electrical Engineering and Telegraphy,1,14
1,198,Electrical Engineering and Telegraphy,1,10
1,198,Etiquette and Social Graces,1,9.5
1,198,Etiquette and Social Graces,1,13
1,198,Etiquette and Social Graces,1,9
1,198,Etiquette and Social Graces,1,13
1,198,Fashion Design and Textile Innovation,1,11.5
1,198,Fashion Design and Textile Innovation,1,14.5
1,198,Fashion Design and Textile Innovation,1,17
1,198,Fashion Design and Textile Innovation,1,17
1,198,Fashion Design and Textile Innovation,1,17
1,198,Fashion Design and Textile Innovation,1,18
1,198,Fashion Design and Textile Innovation,1,8.5
1,198,Fashion Design and Textile Innovation,1,17.5
1,198,Fashion Design and Textile Innovation,1,13
1,198,Fashion Design and Textile Innovation,1,7
1,198,Historical Archaeology and Antiquarian Studies,1,12.5
1,198,Historical Archaeology and Antiquarian Studies,1,9.75
1,198,Steam Engine Mechanics and Engineering,2,4.75
1,198,Steam Engine Mechanics and Engineering,2,6
1,198,Steam Engine Mechanics and Engineering,2,10.5
1,198,Victorian Literature and Social Commentary,1,7.2
1,198,Victorian Literature and Social Commentary,1,7.3
1,198,Victorian Literature and Social Commentary,1,5
1,198,Victorian Literature and Social Commentary,1,9.2
1,198,Victorian Literature and Social Commentary,1,8
1,198,Victorian Literature and Social Commentary,1,8.2
1,198,Victorian Literature and Social Commentary,1,6.7
1,198,Victorian Literature and Social Commentary,1,6.2
1,205,Airship Piloting and Navigation,1,7
1,205,Airship Piloting and Navigation,1,9
1,205,Airship Piloting and Navigation,1,12
1,205,Airship Piloting and Navigation,1,15.5
1,205,Airship Piloting and Navigation,1,14.5
1,205,Alchemy and Chemical Engineering,2,14
1,205,Alchemy and Chemical Engineering,2,14
1,205,Alchemy and Chemical Engineering,2,13
1,205,Alchemy and Chemical Engineering,2,14
1,205,Alchemy and Chemical Engineering,2,15
1,205,Clockwork Automata and Robotics,1,16
1,205,Clockwork Automata and Robotics,1,11
1,205,Clockwork Automata and Robotics,1,18.5
1,205,Clockwork Automata and Robotics,1,15.5
1,205,Clockwork Automata and Robotics,1,14.5
1,205,Cryptography and Codebreaking,1,9.5
1,205,Cryptography and Codebreaking,1,7.5
1,205,Cryptography and Codebreaking,1,8.5
1,205,Electrical Engineering and Telegraphy,1,13
1,205,Electrical Engineering and Telegraphy,1,13
1,205,Electrical Engineering and Telegraphy,1,12
1,205,Etiquette and Social Graces,1,12.5
1,205,Etiquette and Social Graces,1,13.5
1,205,Etiquette and Social Graces,1,12
1,205,Etiquette and Social Graces,1,11
1,205,Etiquette and Social Graces,1,13.5
1,205,Fashion Design and Textile Innovation,1,15
1,205,Fashion Design and Textile Innovation,1,12
1,205,Fashion Design and Textile Innovation,1,18.5
1,205,Fashion Design and Textile Innovation,1,10
1,205,Fashion Design and Textile Innovation,1,5.5
1,205,Fashion Design and Textile Innovation,1,17.5
1,205,Fashion Design and Textile Innovation,1,20
1,205,Fashion Design and Textile Innovation,1,17
1,205,Fashion Design and Textile Innovation,1,11.5
1,205,Fashion Design and Textile Innovation,1,15.5
1,205,Historical Archaeology and Antiquarian Studies,1,15.5
1,205,Historical Archaeology and Antiquarian Studies,1,11.25
1,205,Historical Archaeology and Antiquarian Studies,1,13.5
1,205,Steam Engine Mechanics and Engineering,2,7
1,205,Steam Engine Mechanics and Engineering,2,6.75
1,205,Steam Engine Mechanics and Engineering,2,7.75
1,205,Victorian Literature and Social Commentary,1,9.8
1,205,Victorian Literature and Social Commentary,1,4.8
1,205,Victorian Literature and Social Commentary,1,8.1
1,205,Victorian Literature and Social Commentary,1,10.1
1,205,Victorian Literature and Social Commentary,1,9.5
1,205,Victorian Literature and Social Commentary,1,9.2
1,205,Victorian Literature and Social Commentary,1,7.5
1,205,Victorian Literature and Social Commentary,1,10.4
1,224,Airship Piloting and Navigation,1,9
1,224,Airship Piloting and Navigation,1,4
1,224,Airship Piloting and Navigation,1,3
1,224,Airship Piloting and Navigation,1,8
1,224,Airship Piloting and Navigation,1,8.5
1,224,Alchemy and Chemical Engineering,2,12.5
1,224,Alchemy and Chemical Engineering,2,14
1,224,Alchemy and Chemical Engineering,2,12.5
1,224,Alchemy and Chemical Engineering,2,15
1,224,Alchemy and Chemical Engineering,2,12
1,224,Clockwork Automata and Robotics,1,11.5
1,224,Clockwork Automata and Robotics,1,18
1,224,Clockwork Automata and Robotics,1,18.5
